DEPARTAMENTO,MUNICIPIO,NUMERO_DEL_PREDIO,NUMERO_DE_ORDEN,TOTAL_REGISTROS,DESTINO_ECONOMICO,AREA_TERRENO,AREA_CONSTRUIDA,AVALUO,VIGENCIA,NUMERO_PREDIAL_ANTERIOR
27,495,0001000000010246000000000,1,2,D,2660,0,17722000,1012022,100010246000
27,495,0001000000010246000000000,2,2,D,2660,0,17722000,1012022,100010246000
27,495,0001000000010247000000000,1,1,D,20000,0,51820000,1012022,100010247000
27,495,0001000000010248000000000,1,1,D,400000,0,41454000,1012022,100010248000
27,495,0001000000010250000000000,1,1,D,977000,0,101256000,1012022,100010250000
27,495,0001000000010251000000000,1,1,D,109200,0,11318000,1012022,100010251000
27,495,0001000000010252000000000,1,1,D,250800,0,92832000,1012022,100010252000
27,495,0001000000010253000000000,1,1,A,500,0,54000,1012022,100010253000
27,495,0001000000010254000000000,1,1,D,20000,0,7402000,1012022,100010254000
27,495,0001000000010255000000000,1,1,A,200,0,1367000,1012022,100010255000
27,495,0001000000010256000000000,1,1,D,1000,0,6663000,1012022,100010256000
27,495,0001000000010257000000000,1,1,A,879,0,6013000,1012022,100010257000
27,495,0001000000010258000000000,1,3,D,538300,0,55790000,1012022,100010258000
27,495,0001000000010258000000000,2,3,D,538300,0,55790000,1012022,100010258000
27,495,0001000000010258000000000,3,3,D,538300,0,55790000,1012022,100010258000
27,495,0001000000010259000000000,1,1,A,58,0,397000,1012022,100010259000
27,495,0001000000010260000000000,1,1,D,34400,0,3566000,1012022,100010260000
27,495,0001000000010261000000000,1,1,D,2531000,0,262313000,1012022,100010261000
27,495,0001000000010262000000000,1,1,D,1000,0,4442000,1012022,100010262000
27,495,0001000000010263000000000,1,1,D,124200,0,12871000,1012022,100010263000
27,495,0001000000010264000000000,1,1,D,49200,0,5100000,1012022,100010264000
27,495,0001000000010265000000000,1,1,D,358700,0,37176000,1012022,100010265000
27,495,0001000000010266000000000,1,1,D,289700,0,30025000,1012022,100010266000
27,495,0001000000010267000000000,1,1,D,2000,0,8883000,1012022,100010267000
27,495,0001000000010268000000000,1,1,D,34000,0,3525000,1012022,100010268000
27,495,0001000000010269000000000,1,1,D,153600,0,15919000,1012022,100010269000
27,495,0001000000010271000000000,1,1,D,888900,0,92125000,1012022,100010271000
27,495,0001000000010272000000000,1,1,D,527800,0,54701000,1012022,100010272000
27,495,0001000000010273000000000,1,1,D,1000,0,4442000,1012022,100010273000
27,495,0001000000010274000000000,1,1,D,1000000,0,103640000,1012022,100010274000
27,495,0001000000010275000000000,1,1,D,200000,0,20729000,1012022,100010275000
27,495,0001000000010276000000000,1,1,D,522200,0,54120000,1012022,100010276000
27,495,0001000000010277000000000,1,1,D,1858500,0,192615000,1012022,100010277000
27,495,0001000000010278000000000,1,1,D,688000,0,71305000,1012022,100010278000
27,495,0001000000010279000000000,1,1,D,40000,0,4147000,1012022,100010279000
27,495,0001000000010280000000000,1,1,D,305500,0,31662000,1012022,100010280000
27,495,0001000000010281000000000,1,1,D,591400,0,61293000,1012022,100010281000
27,495,0001000000010282000000000,1,1,D,511300,0,52989000,1012022,100010282000
27,495,0001000000010283000000000,1,1,D,1000000,0,103640000,1012022,100010283000
27,495,0001000000010284000000000,1,1,D,158000,0,16374000,1012022,100010284000
27,495,0001000000010285000000000,1,1,D,358700,0,37176000,1012022,100010285000
27,495,0001000000010286000000000,1,1,D,416200,0,43135000,1012022,100010286000
27,495,0001000000010287000000000,1,1,D,358700,0,37176000,1012022,100010287000
27,495,0001000000010288000000000,1,1,D,1000,0,4442000,1012022,100010288000
27,495,0001000000010289000000000,1,1,D,523200,0,54224000,1012022,100010289000
27,495,0001000000010290000000000,1,1,D,346500,0,35910000,1012022,100010290000
27,495,0001000000010291000000000,1,1,D,195000,0,20209000,1012022,100010291000
27,495,0001000000010292000000000,1,1,D,12500,0,1297000,1012022,100010292000
27,495,0001000000010293000000000,1,1,D,1400,0,6219000,1012022,100010293000
27,495,0001000000010294000000000,1,1,D,994200,0,103039000,1012022,100010294000
27,495,0001000000010295000000000,1,1,D,1000000,0,103640000,1012022,100010295000
27,495,0001000000010296000000000,1,1,D,200000,0,20729000,1012022,100010296000
27,495,0001000000010297000000000,1,1,D,200000,0,20729000,1012022,100010297000
27,495,0001000000010298000000000,1,1,D,127000,0,13162000,1012022,100010298000
27,495,0001000000010299000000000,1,1,D,49800,0,5161000,1012022,100010299000
27,495,0001000000010300000000000,1,1,D,3000,0,13326000,1012022,100010300000
27,495,0001000000010301000000000,1,1,D,172900,0,17921000,1012022,100010301000
